Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa)
115,151.25470899574407,199149.71375062084,0.7167970268961243,0.2439308268994325,0.008999995253,109.63,1.151
116,145.8937635883252,198743.5885321172,0.7245497584284787,0.24837251254045067,0.00900002652,109.63,1.151
117,153.68944511904414,197054.77956404586,0.7006253642492084,0.241991498633042,0.009000036295,109.63,1.151
118,157.05727706559117,196986.3902124642,0.7043427819469198,0.23938284737037666,0.009000033389,109.63,1.151
119,151.4919404152479,197780.4834395281,0.7217412419421366,0.2437399855514183,0.009000012041,109.63,1.151
120,104.02947013658073,194953.09160205355,0.7268690363133173,0.29413293686641917,0.009000024778,109.63,1.151
121,152.27500012532963,200006.00432779067,0.7013063799435911,0.24311235448029508,0.009000003271,109.63,1.151
122,149.20979477045782,199002.89785241146,0.7069051314917547,0.24559724274368244,0.009000037243000001,109.63,1.151
123,155.37721225242782,193153.88482173084,0.7151927672842399,0.2406732500562794,0.009000009557,109.63,1.151
124,135.67230588343114,210204.5122067801,0.7421906092285038,0.2575591117904315,0.00900005252,109.63,1.151
125,162.13418281331596,193202.66292787553,0.7068141875540301,0.23560528983366028,0.009000044588999999,109.63,1.151
126,142.10624949273262,205174.71253907823,0.7185374572937401,0.25166136120927146,0.009000077729,109.63,1.151
127,157.5438145921425,196821.18405248396,0.6973433966103618,0.23901242660688232,0.008999996054999999,109.63,1.151
128,152.7070013478448,196290.34993308954,0.7006090898676007,0.24276876291091617,0.009000042488,109.63,1.151
129,153.80335928970044,198705.61992890865,0.7119796091196084,0.24190170803055913,0.009000024484,109.63,1.151
130,146.86560798402925,197258.93013148353,0.7055857143106822,0.24754856087489704,0.008999967047,109.63,1.151
131,144.82187672871095,201012.57596001824,0.7188526433320186,0.24928990659943417,0.00900002179,109.63,1.151
132,140.8445644117651,195381.95393876114,0.709406141817402,0.25278522096465245,0.009000019488,109.63,1.151
133,143.1155466804833,191399.13082714367,0.7144669067172126,0.2507715283540096,0.009000015709,109.63,1.151
134,139.80153809018816,196792.17634866454,0.7215416063134563,0.2537267625807976,0.009000041371,109.63,1.151
135,145.67921866409768,195725.51204742008,0.714082856105154,0.2485552640912548,0.009000021237999999,109.63,1.151
136,150.27250825278625,197530.54858210473,0.7170620445766914,0.24472742159408478,0.009000047563,109.63,1.151
137,145.28775334047552,197510.37071788768,0.7191757512307894,0.24888990026846425,0.009000021677,109.63,1.151
138,146.36865262569614,198695.43176699372,0.7209153365376851,0.24796944237114968,0.009000039299,109.63,1.151
139,145.1163596440054,203433.3566137911,0.7129736474834416,0.24903679410249258,0.009000018645,109.63,1.151
140,154.15801256391302,194100.01837249924,0.7040813172237603,0.24162363204607243,0.009000049939,109.63,1.151
141,170.51871952696075,200166.8373070248,0.7039748663079796,0.2297390233132574,0.008999981228,109.63,1.151
142,144.43379945210273,198720.3519109425,0.7209169054474417,0.24962484965220075,0.009000040598,109.63,1.151
143,173.69599710734514,191652.98940111542,0.6937278182656574,0.22762854123725193,0.009000015149999999,109.63,1.151
